artist_id,name,sort_name,type,country,begin_area,begin_date,end_date,genres,tags,release_groups,timestamp
d48383f2-26b3-463d-a98b-74a308ea5663,Nachzehrer,Nachzehrer,,,N/A,,,,electronic pop,Teen Taken From Tent by Aliens,2025-04-10T07:34:42.019337
3065a55b-6190-44cb-97f1-5db0572a3ff4,Atmospheres,Atmospheres,,,N/A,,,,,"In A Sentimental Mood, Atmospheres, Dolphin Dance",2025-04-10T07:34:43.880724
e93c394c-bab0-4d43-9fff-d823e3f43a30,GoldRush,GoldRush,Person,,N/A,,,,,"The Third Omen, Love Hz",2025-04-10T07:34:45.719517
60893f05-b06e-447d-9f9d-1737733d9e5a,Sheri Jones-Moffett,"Jones-Moffett, Sheri",Person,,N/A,,,,,"Renewed, If My People",2025-04-10T07:34:47.608107
de72d858-6c72-46f8-9f81-61c689d0c6fd,San Franklin,"Franklin, San",Person,,N/A,,,,,"The Free Project, Set My Feet",2025-04-10T07:34:49.418305
8e6281a1-0530-4dfd-bff6-483b159523e3,Nature,Nature,,,N/A,,,,,Life's Journey,2025-04-10T07:34:51.192891
210a7867-db87-4695-9ab5-23cd56b2760a,Terry Fox,"Fox, Terry",Person,,Seattle,1943,2008-10-04,,,"Berlino / Rallentando, Ataraxia, The Labyrinth Scored for 11 Different Cats, Isolation Unit",2025-04-10T07:34:53.106290
1114ec83-a202-4832-9e9e-d0c7f9ae8846,Joy White,"White, Joy",Person,JM,N/A,,,,,,2025-04-10T07:34:54.995020
6498cf31-5efc-40fe-b873-85254ac18bd5,Jon Sherberg,"Sherberg, Jon",Person,,N/A,,,,,,2025-04-10T07:34:56.843031
f6423015-1050-439f-b102-078c29de5e5b,Anomidae,Anomidae,Person,,N/A,,,,,Interloper Vol 1 (Original Soundtrack),2025-04-10T07:34:58.640042
88036dd4-4c37-4525-9313-a000f4de7496,Siddartha,Siddartha,Person,,N/A,,,"contemporary r&b, hip hop","contemporary r&b, hip hop","Reflections of a Stranger, Dorian Gray, Midas (Money Will), 6uddha, Sideways",2025-04-10T07:35:00.510551
55001c96-675b-4ef1-b66b-f096da1e097a,Marvin Matyka,"Matyka, Marvin",Person,DE,Hamburg,1997-06-27,,"musical, production music, trap, trap edm","musical, production music, trap, trap edm","By Your Side, In My Bed (Remix), goodbye, Intentions, Future Vision, Winter, Let Me Know, Turn My Back On You, Bloody Mary, Perfect Girl x Babydoll",2025-04-10T07:34:59.416002
1f0b3f0d-2389-448c-9a57-0f8fc69830fa,kinaphar,kinaphar,Person,,N/A,,,,,,2025-04-10T07:35:01.319123
0bf27e20-612b-4536-ac37-1d6050a4b074,O Marta,"Marta, O",Person,,N/A,1998,,,,"Ó Moça! É folclore, Casta Brava",2025-04-10T07:35:03.087516
2e9c9a7d-1f54-441c-90ed-c05a1ab8f184,Pure,Pure,Person,DE,N/A,,,,,"Darkstar Remixes, S[e]nd, Low, Just in Case You Are Bored. So Are We., Noonbugs, Bodyhammer, No End of Vinyl, Killerbees on Acid, Antichrist / A.C., Dark Star, King Kong, Part 2 / Katharsis, Subversion 004, The End of Vinyl",2025-04-10T07:35:04.866559
6420dd6b-8232-42db-9cb9-90bec8f40e91,Nourished by Time,Nourished by Time,Person,,N/A,,,"alternative r&b, bedroom pop","alternative r&b, bedroom pop","Erotic Probiotic 2, De Ja Vu, The Rain Water Promise, Came & Went, Sharing, Jimmy, “S2”, Bombs, The Wall, Romance in Me, Catharsis, Moth To A Flame, INSTANT DEATH, The News, Erotic Probiotic, Catching Chickens EP",2025-04-10T07:35:06.707939
269cba5a-c2d2-4bb6-a195-911e3413aea1,NEKOSHOGUN,NEKOSHOGUN,,,N/A,,,,,"Polymer, WATTS, PERESTROIKAWAVE, TELEPHONICS",2025-04-10T07:35:08.534494
4c8aa563-473d-4426-bf69-230a06dee908,J. Carter,"Carter, J.",Person,US,N/A,????-08-12,,,,"It's All Here, The Repetition of Purity, Parade of Lilacs, Their Arms Surround Me Like Chains Made of Velvet, Rejoice!, Wayfaring Stranger",2025-04-10T07:35:10.306835
47b490d5-c9b8-4c65-8cc5-dd7b755468fd,Horror Place,Horror Place,Person,GR,N/A,,,"dark psytrance, electronic, psychedelic, psytrance, trance","dark psytrance, electronic, psy-trance, psychedelic, psychedelic trance, psytrance, trance","Hobyah, Time Travel",2025-04-10T07:35:12.099200
f50a3822-2758-4be9-a4c3-9de27cc0d122,Rodrigo Sánchez,"Sánchez, Rodrigo",Person,,N/A,,,,,En La Playa Al Sol,2025-04-10T07:35:13.888449
8f987c5b-7930-4efd-8960-c5bca7852333,Distorted Goblin,Distorted Goblin,Person,MK,N/A,,,"dark psytrance, electronic, forest psytrance, psychedelic, trance","dark psytrance, electronic, forest psytrance, psy-trance, psychedelic, psychedelic trance, trance",Forest Talk,2025-04-10T07:35:15.698118
822888ce-f46c-4143-83b1-0096191c19a8,LiZZ,LiZZ,,,N/A,,,,likedis auto,"SOLA, Sugar Cane, Garden",2025-04-10T07:35:17.573336
de3c7541-0de9-4422-b362-abc6305ab467,Pok,Pok,Person,,N/A,,,,,"Uperkuut, Tõdemus, Fatamorgaana EP, Uinamuinasjutud",2025-04-10T07:35:19.769487
56b85537-7730-4edc-bc22-8fdb0a718d9b,Zaia,Zaia,Person,,N/A,,,,,"VERY ALONE, American Psycho, numb, RESET",2025-04-10T07:35:21.929831
4b46626b-c717-47a2-ad4a-4b5045cee990,MKLA,MKLA,,,N/A,,,,,"Alive (Remixes), Save Me, Kids, Let Me Go (with MKLA), Losing My Religion, Come Close, Alive, Games We Play, Planet In The Sky, Last Thought (Cassian remix), Side By Side, In My Head, up all night, Fade Out, Running, Alive (One True God remix), Alive (Remixes)",2025-04-10T07:35:23.956929
1760c7d9-91e7-4948-ab42-ebe199f65997,Schizoid,Schizoid,,,N/A,,,,,c a l i g u l a ドラコン,2025-04-10T07:35:25.806827
1c7a62cd-f356-451c-b81b-467be976c96f,Fxrroh,Fxrroh,Person,,N/A,,,"beat music, chillout, experimental, lo-fi hip hop, pop, r&b","alina baraz, anti-pop, beat music, chillout, experimental, galimatias, laeland, lo-fi hip hop, pop, r&b, tove lo, vict molina","Addictions, Lighthouse, Overdosing, When You Talk It's Like a Movie, Nobody, Nineteen Seventy Five, Oxygen, GameBoy, Unexplained, Nomophobia, In Bloom",2025-04-10T07:35:27.825356
e98db469-6c19-4f35-93a1-4bfc7bf0673c,Eddie Douglas,"Douglas, Eddie",Person,CA,Scotland,,,,,"Gonna Keep Dancing, Sleepy Sky Lullaby",2025-04-10T07:35:29.970856
130fe491-8a05-450a-9f9a-bd4c4a0afa22,Smash,Smash,,,N/A,,,,,,2025-04-10T07:35:31.896304
7a6b594c-30a0-4d03-9532-d316d8ab3de5,The Midnight Bell,"Midnight Bell, The",Person,,N/A,,,,,"The Midnight Bell, Arcane Night Music: Side 1, Arcane Night Music: Side 2",2025-04-10T07:35:33.771283
61a3105a-61dd-42fc-8ec3-4747688ec270,Akerius,Akerius,Person,FR,N/A,,,,,"Lux Tenebras, Shadowed Paths Through Middle-Earth, Arcanum Hermeticum, La Malbête",2025-04-10T07:35:35.707763
a6b6b8cf-3c4d-4931-912f-e946db6193f3,Shubham,Shubham,Person,IN,India,2001-09-19,,"edm, future bass","edm, future bass","Wave, Unite, Friday, Tropical, Rational, Edm Bulb, Flow, Fade, Tracks of My Tears, Leave This Place, Lost, You Should Be Sad, Future, Inside, Solid (Shubham remix)",2025-04-10T07:35:37.643085
fb397c93-7a4a-4d33-9ae7-abfcc22953f3,Clayton Blake,Clayton Blake,Person,,N/A,1996-09-06,,,,"This is my Dream, Life Changes, Defiant, Footsteps into the Sunset",2025-04-10T07:35:39.560691
65dbbd67-142c-4567-97e8-36e5fed47fad,Fre4knc,Fre4knc,Person,NL,N/A,1980-02-07,,drum and bass,drum and bass,"Marching Cube VIP, Oxide, Chain of Command / Sinjek, The Shaman, Two Ways, Black Hole, Interlace, Teratornis / Knock Knock, Trailblaze, Microcosms, Dispatch Dubplate 007, The Shaman (NickBee remix), Tubular, Tellurian EP, Critical Presents: Systems 002, Chapter 4, Watermark, Volume 1, Alein, Watermark, Volume 2, Little Things EP",2025-04-10T07:35:41.473175
87f50edf-16c5-4bdf-9072-5669cd5b960a,Bodhisattva 13:20,Bodhisattva 13:20,Person,US,N/A,,,"electronic, psychedelic, psytrance, trance","electronic, psy-trance, psychedelic, psychedelic trance, psytrance, trance","Excursions Through the Ancient Future, Secrets of the Mojave, Equations, Mitsu EP",2025-04-10T07:35:43.370078
eb13b85b-e1de-464a-ad81-7fd6761addeb,Kicktracks,Kicktracks,Person,,N/A,,,,,"Oceanside Beats, Make Chill!, Tape-1, Someday, Flow State, Easy Sunset, Night Lights, Train Smoke, Chill Tape #1",2025-04-10T07:35:45.254600
9a654bef-afde-4751-bc97-1ad28fad1e5f,JYAYO,JYAYO,Person,,N/A,,,"ambient, electronic","ambient, electronic","The Streets, I Love You, Crushed",2025-04-10T07:35:47.060567
734d0f6d-5221-4b0c-95a8-bc154ed4ae33,Melvin War,Melvin War,Person,US,N/A,,,,,"Èros, Antidote, No Guidance (Bachata Version)",2025-04-10T07:35:49.056584
8725c47a-3225-4631-8370-11c5c5d28564,MC Du Black,MC Du Black,Person,BR,N/A,,,,,"Proibida Para Adolescente, 50 Tons",2025-04-10T07:35:50.994430
86828992-4554-4c7d-bd39-c9aa2c6165e4,Martin,Martin,Person,SE,Kalmar,1978-03-11,,,,"En helt vanlig Svensson, (Du är så) Yeah Yeah Wow Wow..., Jag vill inte motionera, Fiskar som viskar",2025-04-10T07:35:52.904982
7b1c964b-bcfb-44eb-95c3-be20706142de,EBK,EBK,Person,GB,N/A,,,,,"Meltdown / Motel, Transit One (Album Sampler), Back In The Grind (Cern & Dabs Remix) / Zulu Fade, Fear No Evil LP Sampler",2025-04-10T07:35:54.793401
66188f23-a995-43ec-82f8-27610e6bfce9,Arbol,Arbol,Group,,N/A,2002,,,,"Dreams Made of Paper, You Travelled My Heart Inside Out, She Read The Wrong Book",2025-04-10T07:35:56.548131
b16e7a2b-7146-440b-9800-9aa147f90b78,L.C. Williams,"Williams, L.C.",Person,US,Crockett,1930-03-12,1960-10-18,,,,2025-04-10T07:35:58.445168
2ebf9dea-6a97-48d7-b25b-df8566202e19,ISH,ISH,Person,,N/A,,,,,"Resonance Level, Structures of Mind, Second Line",2025-04-10T07:36:00.353514
66af8d00-e10a-4b77-9932-243c70a70397,Aarigod,Aarigod,Person,GB,N/A,,,"boom bap, chillwave, downtempo, hip hop, instrumental, instrumental hip hop, lo-fi, lo-fi hip hop","boom bap, chillwave, downtempo, hip hop, instrumental, instrumental hip hop, lo-fi, lo-fi hip hop","Forest Lore, Sky City Tapes, Dream Sign, Mountains Call, Mirage, Nostalgic Waves, Silent, Unearth, Sundown, Bask, Tender Green, Patient, Ocean in a Shell, dovetail",2025-04-10T07:35:59.438126
4642373d-064a-4ecb-9338-8b05c68c9c6a,Marcu Rareș,"Rareș, Marcu",Person,RO,Romania,,,,,"Being Honest, Use me to hide away EP, Flamingo Around, Planethinking, Contratimp, Auditorium, Us, Call Me If You Get Lost, Mind Palace, Soul Bonding EP, Flying Fish",2025-04-10T07:36:01.454569
